10 ring precision, inc. v. jones, 722 f.3d 711|18 usc 923(g)(5)(a)|18 usc 923(g)(5)(a); 18 usc 923(g)(1)(a)|18 usc 923|18 usc 923(g)(1)(b); 18 usc 923(g)(3)(a); 18 usc 923(g)(7); 18 usc 926(a).|18 usc 923(g)(1)(b); 18 usc 923(g)(3)(a); 18 usc 923(g)(7); 18 usc 926(a).
907 whitehead st., inc. v. u.s. dep't of agric., 701 F.3d 1345|7 u.s.c. 2132(h)|7 u.s.c. 2132(h)|7 u.s.c. 2132|.|.
abebe v. gonzales, 493 F.3d 1092|.|8 usc 1101(a)(42)(a)|8 usc 1101|.|.
abimbola v. ashcroft, 378 f.3d 173 (2d cir. 2004)|8 usc 1101(a)(43)(g)|8 usc 1101(a)(42)(a)|8 usc 1101|.|.
abington crest nursing & rehabilitation center v. sebelius, 575 f.3d 717 (d.c.cir. 2009)|42 usc 1395x(v)(1)(a)|42 usc 1395x(v)(1)(a)|42 usc 1395x|.|.
abrams v. social security administration, 703 f.3d 538, 543(f. cir. 2012)|5 usc 7521(a)|5 usc 7521(a)|5 usc 7521|.|.
acosta v. ashcroft, 341 f.3d 218, 225(3d cir. 2003)|.|8 usc 1101(a)(48)(a)|8 usc 1101|18 usc 3607|18 usc 3607
acute care specialists ii v. u.s., 727 f.3d 802|.|26 usc 7422(h); 26 usc 6231(a)(5); 26 usc 6231(a)(3)|26 usc 7422; 26 usc 6231|.|.
acute care specialists ii v. u.s., 727 f.3d 802|26 usc 6231(a)(3)|26 usc 7422(h); 26 usc 6231(a)(3)|26 usc 7422; 26 usc 6231|.|.
ad hoc shrimp trade action committee v. u.s., 596 f.3d 1365, 1370-71, 1373-74(fed. cir 2010)|19 usc 1677b(d)|19 usc 1677b(d);19 usc 1677b(c)|19 usc 1677b|.|.
adair v. u.s., 497 f.3d 1244, 1252, 1255(fed. cir. 2007)|5 usc 5545(d)|5 usc 5545(d)|15 usc 5545|.|.
adams v. holder, 692 f.3d 91, 96-97, 102, 107(2d. cir. 2012)|8 usc 1256(a)|8 usc 1256(a); 8 usc 1159(b); 8 usc 1229b(b); 8 usc 1255(a); 8 usc 1255a(a-b); 8 usc 1255b; 8 usc 1259|8 usc 1256); 8 usc 1159; 8 usc 1229b; 8 usc 1255; 8 usc 1255a; 8 usc 1255b; 8 usc 1259|8 usc 1201|.
adams v. holder, 692 f.3d 91, 96-97, 102, 107(2d. cir. 2012)|8 usc 1256(a)|8 usc 1256(a)|8 usc 1256|.|.
aerolineas argentinas sa v. u.s. dep't of transp., 415 f.3d 1, 6-7(d.c. cir. 2005)|.|49 usc 41310(c)|49 usc 41310|.|.
aeronautical repair station ass'n, inc. v. f.a.a., 494 f.3d 161, 166, 170, 176(d.c. cir. 2007)|49 usc 45102(a)(1)|49 usc 45102(a)(1); 49 usc 45106(a)|49 usc 45102; 49 usc 45106|15 usc 631(a)|
aeronautical repair station ass'n, inc. v. f.a.a., 494 f.3d 161, 166, 170, 176(d.c. cir. 2007)|49 usc 45102(a)(1)|49 usc 45102(a)(1)|49 usc 45102|.|.
afeta v. gonzales, 467 f.3d 402, 404(4th cir. 2006)|8 usc 1432(a)(3)|8 usc 1432(a)(3)|8 usc 1432|.|.
